# itemId, room, capacity
# floors 3 and 5 are silent, 2 and 4 are conversational

26867, 324A, 6
26868, 324B, 6
26869, 324C, 6
26870, 324D, 6
32582, 504, 6
32583, 505, 6
32584, 506, 6
32585, 507, 6
32586, 508, 6
26889, 561, 4
26890, 562, 4
26891, 563, 4
26892, 564, 4
26893, 565, 4
26894, 566, 4
26895, 567, 4
26896, 568, 4
26897, 569, 4
26898, 570, 6
26899, 571, 6
26900, 572, 6
26901, 573, 6
26902, 574, 6
26975, 234A, 5
26976, 234B, 5
26977, 234C, 4
26978, 234D, 4
26883, 420, 6
26884, 421, 6
26885, 422, 6
26886, 423, 6
26887, 424, 6
26888, 425, 6
26871, 462, 6
26872, 463, 6
26873, 464, 8
26874, 465, 6
26875, 466, 6
26876, 467, 6
26877, 468, 8
26878, 469, 6
26879, 470, 6
26880, 461, 6
26881, 472, 4
26882, 473, 5
